car_id,brand,model,year,mileage,fuel_type,transmission,sale_month,zip_prefix,price,car_age
1,Honda,Model A,2020,50757.0,Petrol,Manual,7,30,999999,6
2,Fiat,Model B,2030,,Hybrid,Automatic,1,1,19076,-4
3,Audi,Model C,2025,-500.0,Petrol,Automatic,12,1,29629,1
4,VW,Model B,2023,10661.0,XYZ,Automatic,10,20,18132,3
5,Dacia,Model C,2015,126515.0,Petrol,Manual,7,30,0,11
6,VW,Model C,2015,121974.0,Petrol,Manual,12,1,500,11
7,BMW,Model B,2005,247373.0,Petrol,Automatic,4,10,500,21
8,Ford,Model B,2025,3210.0,Hybrid,Automatic,11,1,21820,1
9,Mercedes,Model A,2023,34565.0,Diesel,Automatic,11,1,21380,3
10,BMW,Model A,2025,13173.0,Petrol,Automatic,8,30,33616,1
11,Toyota,Model B,2002,249874.0,Petrol,Automatic,4,30,500,24
12,Audi,Model C,2025,0.0,Petrol,Automatic,7,20,33231,1
13,Hyundai,Model B,2025,0.0,Petrol,Manual,12,10,20673,1
14,Toyota,Model A,2017,95659.0,Diesel,Manual,2,1,6814,9
15,VW,Model A,2016,97948.0,Petrol,Manual,3,1,9107,10
16,BMW,Model C,2016,121680.0,Petrol,Manual,9,1,4388,10
17,BMW,Model A,2020,26909.0,Petrol,Manual,9,20,11325,6
18,BMW,Model B,2022,38792.0,Petrol,Manual,3,10,13796,4
19,Audi,Model C,2021,49265.0,Petrol,Manual,11,30,9813,5
20,Toyota,Model B,2019,84741.0,Petrol,Automatic,12,20,10088,7
21,Ford,Model C,2023,0.0,Diesel,Automatic,1,10,24607,3
22,Dacia,Model C,2013,,Petrol,Automatic,12,20,6861,13
23,Toyota,Model B,2019,86685.0,Petrol,Manual,4,30,6039,7
24,BMW,Model A,2020,50352.0,Diesel,Automatic,4,1,13444,6
25,Mercedes,Model A,2021,29601.0,Diesel,Automatic,1,1,18136,5
26,Fiat,Model C,2025,0.0,Diesel,Manual,7,1,21949,1
27,VW,Model C,2016,32126.0,Diesel,Automatic,12,1,500,10
28,Hyundai,Model A,2022,22370.0,Petrol,Manual,3,1,16334,4
29,Mercedes,Model C,2023,55442.0,Hybrid,Automatic,8,30,24932,3
30,Mercedes,Model A,2004,244819.0,Petrol,Manual,4,1,500,22
31,Mercedes,Model A,2023,6695.0,Petrol,Manual,1,1,21254,3
32,Fiat,Model B,2015,118595.0,Petrol,Manual,12,30,6154,11
33,Audi,Model B,2006,241617.0,Hybrid,Automatic,9,1,500,20
34,Ford,Model A,2025,261.0,Petrol,Manual,10,20,27741,1
35,Honda,Model A,2025,7283.0,Petrol,Automatic,9,30,29160,1
36,Honda,Model B,2025,0.0,Petrol,Automatic,2,1,27700,1
37,Mercedes,Model A,2020,82315.0,Petrol,Automatic,3,30,8875,6
38,Ford,Model A,2009,200425.0,Petrol,Manual,5,30,6531,17
39,BMW,Model C,2024,27715.0,Petrol,Automatic,12,30,31349,2
40,Dacia,Model B,2021,53477.0,Petrol,Automatic,9,1,10110,5
41,BMW,Model B,2012,168373.0,Diesel,Automatic,6,1,500,14
42,BMW,Model B,2022,22904.0,Petrol,Automatic,7,30,22407,4
43,Toyota,Model C,2003,250000.0,Diesel,Automatic,12,1,500,23
44,Hyundai,Model B,2025,20197.0,Petrol,Automatic,3,1,25319,1
45,Audi,Model B,2018,107396.0,Petrol,Manual,5,20,9429,8
46,Honda,Model B,2024,0.0,Diesel,Automatic,5,1,18290,2
47,BMW,Model A,2020,63746.0,Diesel,Automatic,12,30,12356,6
48,BMW,Model C,2022,29535.0,Petrol,Manual,10,20,18948,4
49,Ford,Model A,2023,13544.0,Diesel,Automatic,8,10,21042,3
50,Mercedes,Model B,2016,112272.0,Petrol,Automatic,4,1,5362,10
51,VW,Model C,2025,17114.0,Petrol,Automatic,3,30,22442,1
52,Hyundai,Model A,2025,6774.0,Petrol,Manual,5,30,26351,1
53,Fiat,Model C,2025,0.0,Petrol,Manual,12,20,16181,1
54,Mercedes,Model B,2025,7722.0,Petrol,Automatic,12,30,26425,1
55,Honda,Model C,2023,18600.0,Petrol,Automatic,6,20,23324,3
56,Dacia,Model B,2025,6181.0,Petrol,Automatic,5,1,23956,1
57,Hyundai,Model C,2008,,Diesel,Automatic,12,30,1167,18
58,Mercedes,Model B,2016,76842.0,Petrol,Automatic,6,20,8164,10
59,Honda,Model B,2004,250000.0,Petrol,Manual,1,1,500,22
60,Fiat,Model C,2020,36914.0,Hybrid,Automatic,5,30,7723,6
61,Honda,Model A,2021,66424.0,Petrol,Manual,8,1,10304,5
62,Hyundai,Model B,2019,62444.0,Petrol,Automatic,12,1,8909,7
63,Honda,Model B,2025,0.0,Diesel,Manual,6,30,25389,1
64,Mercedes,Model B,2020,70429.0,Petrol,Automatic,4,30,12182,6
65,Mercedes,Model A,2019,77462.0,Petrol,Manual,5,10,8143,7
66,BMW,Model B,2023,9012.0,Petrol,Manual,1,20,21992,3
67,Mercedes,Model A,2014,113205.0,Diesel,Manual,12,30,4520,12
68,Fiat,Model B,2025,0.0,Diesel,Automatic,1,1,18814,1
69,VW,Model C,2007,197938.0,Petrol,Automatic,1,10,500,19
70,VW,Model C,2025,0.0,Petrol,Manual,8,1,25092,1
71,Ford,Model B,2025,1734.0,Petrol,Manual,2,20,27046,1
72,Toyota,Model B,2016,93511.0,Petrol,Automatic,4,20,8053,10
73,Audi,Model C,2000,250000.0,Petrol,Automatic,7,30,500,26
74,Fiat,Model A,2025,,Diesel,Automatic,10,30,23149,1
75,Honda,Model A,2025,0.0,Hybrid,Manual,5,1,23686,1
76,Honda,Model B,2025,1952.0,Petrol,Manual,12,20,22797,1
77,Dacia,Model A,2025,30271.0,Hybrid,Manual,6,30,14741,1
78,Toyota,Model A,2007,198185.0,Petrol,Automatic,12,10,500,19
79,Fiat,Model B,2020,77868.0,Diesel,Automatic,6,30,8977,6
80,Fiat,Model B,2011,184062.0,Petrol,Manual,7,1,500,15
81,Audi,Model A,2025,12814.0,Petrol,Automatic,12,30,28206,1
82,BMW,Model C,2024,31376.0,Petrol,Automatic,9,30,21818,2
83,Dacia,Model A,2020,64208.0,Petrol,Automatic,2,1,9691,6
84,Toyota,Model C,2006,219256.0,Diesel,Automatic,8,30,3740,20
85,BMW,Model A,2020,76418.0,Diesel,Manual,3,20,13906,6
86,Honda,Model C,2020,76992.0,Petrol,Automatic,4,1,7742,6
